"Crude.Oil"	"Rapeseed"	"Biodiesel"
"2007-04-13"	-0.0796176600699523	-0.22521530524394	-0.05453373358392
"2007-04-20"	-0.118394274502735	-0.232931970877204	-0.0564028581659031
"2007-04-27"	-0.0883880725150261	-0.212015764078975	-0.055919656116826
"2007-05-04"	-0.130392548226236	-0.168014330870912	-0.0525100773452847
"2007-05-11"	-0.0682492632230014	-0.112795162729092	-0.0586769944868797
"2007-05-18"	0.093269385665808	-0.0775469375870816	-0.00443002147355909
"2007-05-25"	0.105695790952219	-0.0679251955338032	0.000743132789381207
"2007-06-01"	0.0640040307273084	-0.0621181071243972	-0.000341678026813952
"2007-06-08"	0.0554525417053737	-0.071358778442721	-0.0128966405757645
"2007-06-15"	0.0715018032128265	-0.0580323987777804	-0.0146718888608168
"2007-06-22"	0.0722658330479788	-0.0639864177596428	0.000101111093617767
"2007-06-29"	0.0653673125998706	-0.0127864120783041	0.0020223631471179
"2007-07-06"	0.11117141979391	-0.00556081090534821	0.00692270389770488
"2007-07-13"	0.128349949611883	0.00489145653235479	-0.00024408734037884
"2007-07-20"	0.110835081928147	0.0311974577281138	-0.000167570241313086
"2007-07-27"	0.0862565416111352	0.057380186795946	-0.00241370897280824
"2007-08-03"	0.0489198471378627	0.0868392072413195	-0.00932547616147072
"2007-08-10"	-0.00982283789414851	0.105890671218691	-0.0196080034829196
"2007-08-17"	0.00398924335700368	0.0773976273828616	-0.0151053861472175
"2007-08-24"	0.00279978104831091	0.109843852283567	-0.0150178638866203
"2007-08-31"	0.0535793293167428	0.155978620324402	-0.0137621236050913
"2007-09-07"	0.0959267637952941	0.160413831575925	-0.0131923523123856
"2007-09-14"	0.113447177444026	0.158500983060889	-0.00884605677111772
"2007-09-21"	0.124737884929963	0.173014641253427	-0.00578048278686616
"2007-09-28"	0.115199271346967	0.191636979956387	-0.000815435999611758
"2007-10-05"	0.120029560614051	0.194485683996261	-0.00650633882854557
"2007-10-12"	0.142964193919355	0.210588280684928	-0.00021245678331816
"2007-10-19"	0.189779530416721	0.221988776611539	-0.00101088508603464
"2007-10-26"	0.23079020554721	0.219968629078855	0.00967026201785348
"2007-11-02"	0.276184020738102	0.219270944461455	0.0118815882914207
"2007-11-09"	0.28796459174272	0.219128880373695	0.033846125015403
"2007-11-16"	0.289779780155012	0.20692949872979	0.0937101586945657
"2007-11-23"	0.329157295022178	0.260842075054293	0.115021360452202
"2007-11-30"	0.265505801692491	0.272453458798511	0.126619933303412
"2007-12-07"	0.266878412545403	0.277559217008135	0.127536290502612
"2007-12-14"	0.321520482826442	0.31100715963782	0.128199222630522
"2007-12-21"	0.337860244716894	0.357744049417083	0.130269250462483
"2007-12-28"	0.328031904670079	0.352389796570038	0.132077713559768
"2008-01-04"	0.3341561440232	0.356497730042759	0.141602221592949
"2008-01-11"	0.252418621251373	0.356858732572451	0.153032811845139
"2008-01-18"	0.246605986389316	0.349164423945672	0.131385918887797
"2008-01-25"	0.264223227070747	0.331382680176842	0.132524520689224
"2008-02-01"	0.240661285088726	0.360645350897908	0.133165619485679
"2008-02-08"	0.277749985328189	0.384946688711469	0.130153728564498
"2008-02-15"	0.286075938278811	0.397091573226403	0.130010128565267
"2008-02-22"	0.27060965527629	0.438612988072155	0.13196196500018
"2008-02-29"	0.257426158883607	0.507398418517557	0.124548079782723
"2008-03-07"	0.261534792120067	0.441030037219689	0.149027607528967
"2008-03-14"	0.287672398208974	0.457387140383156	0.202686722458115
"2008-03-21"	0.217675915595275	0.380337953692776	0.163756204028767
"2008-03-28"	0.208076703098352	0.368532107877125	0.159108303018233
"2008-04-04"	0.206171120915017	0.378306910140407	0.160242017792953
"2008-04-11"	0.218856236926104	0.35053638628797	0.162307523959279
"2008-04-18"	0.262340797711563	0.326684765162055	0.166667062622625
"2008-04-25"	0.301115164662952	0.310402165084842	0.170118253223748
"2008-05-02"	0.30862836239985	0.264831230323856	0.171987734402211
"2008-05-09"	0.423876545121633	0.393298428591938	0.181448720244398
