"Date"	"Crude.Oil"	"Rapeseed"	"Biodiesel"
"329"	2009-09-04	293.105146	439.833975869121	1049
"330"	2009-09-11	292.476165	429.75260915642	1029
"331"	2009-09-18	301.0303066	434.341349276699	1024
"332"	2009-09-25	278.1353982	425.315895905556	1034
"333"	2009-10-02	290.8408144	423.145593401673	979
"334"	2009-10-09	301.281899	433.155745624777	1019
"335"	2009-10-16	322.9817435	444.972387221958	1004
"336"	2009-10-23	323.925215	442.057606680699	1004
"337"	2009-10-30	319.0820613	448.243594136263	1019
"338"	2009-11-06	321.8495777	442.843158762958	1023.39749392859
"339"	2009-11-13	319.2707556	450.11095046817	1019
"340"	2009-11-20	326.3153428	460.0923590135	1014
"341"	2009-11-27	322.9188454	462.393670687626	1018.6
"342"	2009-12-04	328.2651839	464.190742395503	1039.63
"343"	2009-12-11	306.4395432	465.755459557389	1048.5
"344"	2009-12-18	322.4785587	469.655100359652	1017.3
"345"	2009-12-25	331.3471908	468.999977607112	991.45831188091
"346"	2010-01-01	340.1529248	476.664712536767	982.514075550454
"347"	2010-01-08	354.3678954	479.860017582408	987.850683279543
"348"	2010-01-15	337.3225103	467.440074269011	1004.85152733909
"349"	2010-01-22	321.4721891	470.080896547489	1030.9
"350"	2010-01-29	320.9061062	468.62899069188	1053.4
"351"	2010-02-05	325.0573808	479.794098338972	1044.6
"352"	2010-02-12	334.8694844	489.890838456108	1041.6
"353"	2010-02-19	362.6075465	499.208476897124	1032.65
"354"	2010-02-26	355.5000612	493.706566292548	1045.48
"355"	2010-03-05	367.8909869	496.288651333796	1040
"356"	2010-03-12	361.7269731	491.849157747897	1040.16661345553
"357"	2010-03-19	365.6266553	498.187840333177	1048.37179715298
"358"	2010-03-26	366.5701268	519.845720343536	1055.03
"359"	2010-04-02	387.5780922	515.847331979115	1061.13
"360"	2010-04-09	395.2516604	520.131632427932	1085.38
"361"	2010-04-16	395.5032528	517.848572668599	1084.58
"362"	2010-04-23	406.6362165	544.80320721526	1083
"363"	2010-04-30	409.2150386	521.666666666667	1087.9
"364"	2010-05-07	385.6282511	495.960584002051	1098.38
"365"	2010-05-14	387.8925827	501.299957440684	1098.83423521912
"366"	2010-05-21	356.003246	497.724238558101	1093.311237834
"367"	2010-05-28	372.5454463	506.246371755314	1092.23
"368"	2010-06-04	372.1680577	507.569262567152	1096.95
"369"	2010-06-11	388.5215637	521.35900524355	1088.75
